#Supplementary Data 1. Drug-disease annotations and proximity values of drugs to diseases, pathways and side effects.							
Disease	Drug	Drugbank ID	Palliative	In FDA label	Relative Efficacy (RE)	Indication (from DailyMed)	Note
arrhythmias cardiac	Acebutolol	DB01193	0	1	NA	HYPERTENSION: Acebutolol hydrochloride capsules are indicated for the management of hypertension in adults. It may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics. VENTRICULAR ARRHYTHMIAS: Acebutolol hydrochloride capsules are indicated in the management of ventricular premature beats; it reduces the total number of premature beats, as well as the number of paired and multiform ventricular ectopic beats, and R-on-T beats.	
arrhythmias cardiac	Amiodarone	DB01118	0	1	0,74359	Because of its life-threatening side effects and the substantial management difficulties associated with its use (see WARNINGS below), amiodarone hydrochloride tablets are indicated only for the treatment of the following documented, life-threatening recurrent ventricular arrhythmias when these have not responded to documented adequate doses of other available antiarrhythmics or when alternative agents could not be tolerated. Recurrent ventricular fibrillation. Recurrent hemodynamically unstable ventricular tachycardia. As is the case for other antiarrhythmic agents, there is no evidence from controlled trials that the use of amiodarone hydrochloride tablets favorably affects survival. Amiodarone hydrochloride tablets should be used only by physicians familiar with and with access to (directly or through referral) the use of all available modalities for treating recurrent life-threatening ventricular arrhythmias and who have access to appropriate monitoring facilities, including in-hospital and ambulatory continuous electrocardiographic monitoring and electrophysiologic techniques. Because of the life-threatening nature of the arrhythmias treated, potential interactions with prior therapy, and potential exacerbation of the arrhythmia, initiation of therapy with amiodarone hydrochloride tablets should be carried out in the hospital.	
arrhythmias cardiac	Digoxin	DB00390	0	1	0,928571	LANOXIN is indicated for the treatment of mild to moderate heart failure. LANOXIN increases left ventricular ejection fraction and improves heart failure symptoms as evidenced by exercise capacity and heart failure-related hospitalizations and emergency care, while having no effect on mortality. Where possible, LANOXIN should be used with a diuretic and an angiotensin-converting enzyme inhibitor, but an optimal order for starting these 3 drugs cannot be specified. LANOXIN is indicated for the control of ventricular response rate in patients with chronic atrial fibrillation.	
arrhythmias cardiac	Diltiazem	DB00343	0	0	0,740741	Diltiazem hydrochloride tablets are indicated for the management of chronic stable angina and angina due to coronary artery spasm.	
arrhythmias cardiac	Disopyramide	DB00280	0	1	0,666667	Disopyramide phosphate capsules are indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening. Because of the proarrhythmic effects of disopyramide, its use with lesser arrhythmias is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of disopyramide treatment, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. Antiarrhythmic drugs have not been shown to enhance survival in patients with ventricular arrhythmias.	
arrhythmias cardiac	Dofetilide	DB00204	0	1	0,294118	TIKOSYN is indicated for the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm. Because TIKOSYN can cause life threatening ventricular arrhythmias, it should be reserved for patients in whom atrial fibrillation/atrial flutter is highly symptomatic. In general, antiarrhythmic therapy for atrial fibrillation/atrial flutter aims to prolong the time in normal sinus rhythm. Recurrence is expected in some patients (see CLINICAL STUDIES). TIKOSYN is indicated for the conversion of atrial fibrillation and atrial flutter to normal sinus rhythm. TIKOSYN has not been shown to be effective in patients with paroxysmal atrial fibrillation.	
arrhythmias cardiac	Dronedarone	DB04855	0	1	0,428571	MULTAQ is an antiarrhythmic drug indicated to reduce the risk of hospitalization for atrial fibrillation (AF) in patients in sinus rhythm with a history of paroxysmal or persistent AF (1, 14).	
arrhythmias cardiac	Flecainide	DB01195	0	1	0,666667	In patients without structural heart disease, Flecainide Acetate Tablets, USP are indicated for the prevention of: paroxysmal supraventricular tachycardias (PSVT), including atrioventricular nodal reentrant tachycardia, atrioventricular reentrant tachycardia and other supraventricular tachycardias of unspecified mechanism associated with disabling symptoms paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms Flecainide Acetate Tablets, USP are also indicated for the prevention of: documented ventricular arrhythmias, such as sustained ventricular tachycardia ( sustained VT), that in the judgment of the physician are life-threatening. Use of Flecainide Acetate Tablets, USP for the treatment of sustained VT, like other antiarrhythmics, should be initiated in the hospital. The use of Flecainide Acetate Tablets, USP is not recommended in patients with less severe ventricular arrhythmias even if the patients are symptomatic. Because of the proarrhythmic effects of Flecainide Acetate Tablets, USP, its use should be reserved for patients in whom, in the opinion of the physician, the benefits of treatment outweigh the risks. Flecainide Acetate Tablets, USP should not be used in patients with recent myocardial infarction. (See Boxed WARNINGS.) Use of Flecainide Acetate Tablets, USP in chronic atrial fibrillation has not been adequately studied and is not recommended. (See Boxed WARNINGS.) As is the case for other antiarrhythmic agents, there is no evidence from controlled trials that the use of Flecainide Acetate Tablets, USP favorably affects survival or the incidence of sudden death.	
arrhythmias cardiac	Ibutilide	DB00308	0	1	NA	Ibutilide fumarate injection is indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm. Patients with atrial arrhythmias of longer duration are less likely to respond to ibutilide fumarate. The effectiveness of ibutilide has not been determined in patients with arrhythmias of more than 90 days in duration. CHOICE OF PATIENTS Patients with chronic atrial fibrillation have a strong tendency to revert after conversion to sinus rhythm (see CLINICAL STUDIES) and treatments to maintain sinus rhythm carry risks. Patients to be treated with ibutilide fumarate, therefore, should be carefully selected such that the expected benefits of maintaining sinus rhythm outweigh the immediate risks of ibutilide fumarate, and the risks of maintenance therapy, and are likely to offer an advantage compared with alternative management.	
arrhythmias cardiac	Isoproterenol	DB01064	0	1	NA	Isoproterenol hydrochloride injection is indicated:  For mild or transient episodes of heart block that do not require electric shock or pacemaker therapy.  For serious episodes of heart block and Adams-Stokes attacks (except when caused by ventricular tachycardia or fibrillation). (See CONTRAINDICATIONS.)  For use in cardiac arrest until electric shock or pacemaker therapy, the treatments of choice, is available. (See CONTRAINDICATIONS.)  For bronchospasm occurring during anesthesia.  As an adjunct to fluid and electrolyte replacement therapy and the use of other drugs and procedures in the treatment of hypovolemic and septic shock, low cardiac output (hypoperfusion) states, congestive heart failure, and cardiogenic shock. (See WARNINGS.)	
arrhythmias cardiac	Lidocaine	DB00281	0	0	0,944444	Octocaine (Lidocaine and Epinephrine Injection, USP) is indicated for the production of local anesthesia for dental procedures by nerve block or infiltration techniques. Only accepted procedures for these techniques as described in standard textbooks are recommended.	
arrhythmias cardiac	Mexiletine	DB00379	0	1	NA	Mexiletine hydrochloride capsules are indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening. Because of the proarrhythmic effects of mexiletine, its use with lesser arrhythmias is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of mexiletine treatment, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. Antiarrhythmic drugs have not been shown to enhance survival in patients with ventricular arrhythmias.	
arrhythmias cardiac	Moricizine	DB00680	0	0	NA		No corresponding FDA label
arrhythmias cardiac	Procainamide	DB01035	0	1	NA	Procainamide hydrochloride injection is indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgement of the physician, are life-threatening. Because of the proarrhythmic effects of procainamide, its use with lesser arrhythmias is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of procainamide treatment, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. Antiarrhythmic drugs have not been shown to enhance survival in patients with ventricular arrhythmias. Because procainamide has the potential to produce serious hematological disorders (0.5 percent) particularly leukopenia or agranulocytosis (sometimes fatal), its use should be reserved for patients in whom, in the opinion of the physician, the benefits of treatment clearly outweigh the risks. (see WARNINGS and Boxed Warning.)	
arrhythmias cardiac	Propafenone	DB01182	0	1	0	In patients without structural heart disease, propafenone is indicated to prolong the time to recurrence of paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms. paroxysmal supraventricular tachycardia (PSVT) associated with disabling symptoms. As with other agents, some patients with atrial flutter treated with propafenone have developed 1:1 conduction, producing an increase in ventricular rate. Concomitant treatment with drugs that increase the functional AV refractory period is recommended. The use of propafenone HCl in patients with chronic atrial fibrillation has not been evaluated. Propafenone HCl should not be used to control ventricular rate during atrial fibrillation. Propafenone HCl is also indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening. Because of the proarrhythmic effects of propafenone HCl, its use with lesser ventricular arrhythmias is not recommended, even if patients are symptomatic, and any use of the drug should be reserved for patients in whom, in the opinion of the physician, the potential benefits outweigh the risks. Initiation of propafenone HCl treatment, as with other antiarrhythmics used to treat life-threatening ventricular arrhythmias, should be carried out in the hospital. Propafenone HCl, like other antiarrhythmic drugs, has not been shown to enhance survival in patients with ventricular or atrial arrhythmias.	
arrhythmias cardiac	Propranolol	DB00571	0	1	NA	Propranolol hydrochloride tablets are indicated in the management of hypertension. They may be used alone or used in combination with other antihypertensive agents, particularly a thiazide diuretic. Propranolol hydrochloride tablets are not indicated in the management of hypertensive emergencies. Propranolol hydrochloride tablets are indicated to decrease angina frequency and increase exercise tolerance in patients with angina pectoris. Propranolol hydrochloride tablets are indicated to control ventricular rate in patients with atrial fibrillation and a rapid ventricular response. Propranolol hydrochloride tablets are indicated to reduce cardiovascular mortality in patients who have survived the acute phase of myocardial infarction and are clinically stable. Propranolol hydrochloride tablets are indicated for the prophylaxis of common migraine headache. The efficacy of propranolol in the treatment of a migraine attack that has started has not been established, and propranolol is not indicated for such use. Propranolol hydrochloride tablets are indicated in the management of familial or hereditary essential tremor. Familial or essential tremor consists of involuntary, rhythmic, oscillatory movements, usually limited to the upper limbs. It is absent at rest, but occurs when the limb is held in a fixed posture or position against gravity and during active movement. Propranolol hydrochloride tablets, USP causes a reduction in the tremor amplitude but not in the tremor frequency. Propranolol hydrochloride tablets are not indicated for the treatment of tremor associated with Parkinsonism. Propranolol hydrochloride tablets improve NYHA functional class in symptomatic patients with hypertrophic subaortic stenosis. Propranolol hydrochloride tablets are indicated as an adjunct to alpha-adrenergic blockade to control blood pressure and reduce symptoms of catecholamine-secreting tumors.	
arrhythmias cardiac	Quinidine	DB00908	0	1	NA	Conversion of atrial fibrillation/flutter In patients with symptomatic atrial fibrillation/flutter whose symptoms are not adequately controlled by measures that reduce the rate of ventricular response, quinidine sulfate is indicated as a means of restoring normal sinus rhythm. If this use of quinidine sulfate does not restore sinus rhythm within a reasonable time (see DOSAGE AND ADMINISTRATION), then quinidine sulfate should be discontinued. Reduction of frequency of relapse into atrial fibrillation/flutter Chronic therapy with quinidine sulfate is indicated for some patients at high risk of symptomatic atrial fibrillation/flutter, generally patients who have had previous episodes of atrial fibrillation/flutter that were so frequent and poorly tolerated as to outweigh, in the judgement of the physician and the patient, the risks of prophylactic therapy with quinidine sulfate. The increased risk of death should specifically be considered. Quinidine sulfate should be used only after alternative measures (e.g., use of other drugs to control the ventricular rate) have been found to be inadequate. In patients with histories of frequent symptomatic episodes of atrial fibrillation/flutter, the goal of therapy should be an increase in the average time between episodes. In most patients, the tachyarrhythmia will recur during therapy, and a single recurrence should not be interpreted as therapeutic failure. Suppression of ventricular arrhythmias Quinidine sulfate is also indicated for the suppression of recurrent documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgement of the physician are lifethreatening. Because of the proarrhythmic effects of quinidine, its use with ventricular arrhythmias of lesser severity is generally not recommended, and treatment of patients with asymptomatic ventricular premature contractions should be avoided. Where possible, therapy should be guided by the results of programmed electrical stimulation and/or Holter monitoring with exercise. Antiarrhythmic drugs (including quinidine sulfate) have not been shown to enhance survival in patients with ventricular arrhythmias. Treatment of malaria Quinidine sulfate is also indicated in the treatment of life-threatening Plasmodium falciparum malaria.	
arrhythmias cardiac	Sotalol	DB00489	0	1	0,833333	Sotalol hydrochloride tablets, USP are indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgment of the physician are life-threatening. Because of the proarrhythmic effects of sotalol hydrochloride tablets, USP (see WARNINGS), including a 1.5 to 2% rate of Torsade de Pointes or new VT/VF in patients with either NSVT or supraventricular arrhythmias, its use in patients with less severe arrhythmias, even if the patients are symptomatic, is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of sotalol hydrochloride treatment or increasing doses, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. The response to treatment should then be evaluated by a suitable method (e.g., PES or Holter monitoring) prior to continuing the patient on chronic therapy. Various approaches have been used to determine the response to antiarrhythmic therapy, including sotalol hydrochloride tablets, USP. In the ESVEM Trial, response by Holter monitoring was tentatively defined as 100% suppression of ventricular tachycardia, 90% suppression of non-sustained VT, 80% suppression of paired VPCs, and 75% suppression of total VPCs in patients who had at least 10 VPCs/hour at baseline; this tentative response was confirmed if VT lasting 5 or more beats was not observed during treadmill exercise testing using a standard Bruce protocol. The PES protocol utilized a maximum of three extrastimuli at three pacing cycle lengths and two right ventricular pacing sites. Response by PES was defined as prevention of induction of the following: 1) monomorphic VT lasting over 15 seconds; 2) non-sustained polymorphic VT containing more than 15 beats of monomorphic VT in patients with a history of monomorphic VT; 3) polymorphic VT or VF greater than 15 beats in patients with VF or a history of aborted sudden death without monomorphic VT; and 4) two episodes of polymorphic VT or VF of greater than 15 beats in a patient presenting with monomorphic VT. Sustained VT or NSVT producing hypotension during the final treadmill test was considered a drug failure. In a multicenter open-label long-term study of sotalol in patients with life-threatening ventricular arrhythmias which had proven refractory to other antiarrhythmic medications, response by Holter monitoring was defined as in ESVEM. Response by PES was defined as non-inducibility of sustained VT by at least double extrastimuli delivered at a pacing cycle length of 400 msec. Overall survival and arrhythmia recurrence rates in this study were similar to those seen in ESVEM, although there was no comparative group to allow a definitive assessment of outcome. Antiarrhythmic drugs have not been shown to enhance survival in patients with ventricular arrhythmias. Sotalol is also indicated for the maintenance of normal sinus rhythm [delay in time to recurrence of atrial fibrillation/atrial flutter (AFIB/AFL)] in patients with symptomatic AFIB/AFL who are currently in sinus rhythm and is marketed under the brand name Betapace AF. Sotalol hydrochloride tablets, USP are not approved for the AFIB/AFL indication and should not be substituted for Betapace AF because only Betapace AF is distributed with a patient package insert that is appropriate for patients with AFIB/AFL.	
arrhythmias cardiac	Verapamil	DB00661	0	1	0,5	Verapamil hydrochloride extended-release tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including this drug. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Programs Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.	
arterial occlusive diseases	Papaverine	DB01113	0	0	NA	Papaverine is recommended in various conditions accompanied by spasm of smooth muscle, such as vascular spasm associated with acute myocardial infarction (coronary occlusion), angina pectoris, peripheral and pulmonary embolism, peripheral vascular disease in which there is a vasospastic element, or certain cerebral angiospastic states; and visceral spasm, as in ureteral, biliary, or gastrointestinal colic.	
arterial occlusive diseases	Streptokinase	DB00086	0	0	NA		No corresponding FDA label
arteriosclerosis	Epoprostenol	DB01240	0	0	NA	VELETRI is a prostanoid vasodilator indicated for the treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) to improve exercise capacity. Studies establishing effectiveness included predominantly patients with NYHA Functional Class III-IV symptoms and etiologies of idiopathic or heritable PAH or PAH associated with connective tissue diseases. (1)	
arteriosclerosis	Niacin	DB00627	0	1	0,977273	NIASPAN contains extended-release niacin (nicotinic acid), and is indicated: To reduce elevated TC, LDL-C, Apo B and TG, and to increase HDL-C in patients with primary hyperlipidemia and mixed dyslipidemia. (1) In combination with simvastatin or lovastatin: to treat primary hyperlipidemia and mixed dyslipidemia when treatment with NIASPAN, simvastatin, or lovastatin monotherapy is considered inadequate. (1) To reduce the risk of recurrent nonfatal myocardial infarction in patients with a history of myocardial infarction and hyperlipidemia. (1) In combination with a bile acid binding resin: Slows progression or promotes regression of atherosclerotic disease in patients with a history of coronary artery disease (CAD) and hyperlipidemia. (1) As an adjunct to diet to reduce elevated TC and LDL-C in adult patients with primary hyperlipidemia. (1) Slows progression or promotes regression of atherosclerotic disease in patients with a history of coronary artery disease (CAD) and hyperlipidemia. (1) As an adjunct to diet to reduce elevated TC and LDL-C in adult patients with primary hyperlipidemia. (1) To reduce TG in adult patients with severe hypertriglyceridemia. (1) Limitations of use: No incremental benefit of NIASPAN coadministered with simvastatin or lovastatin on cardiovascular morbidity and mortality over and above that demonstrated for niacin, simvastatin and lovastatin monotherapy, has been established. NIASPAN, at doses of 1,500-2,000 mg/day, in combination with simvastatin, did not reduce the incidence of cardiovascular events more than simvastatin in a randomized controlled trial of patients with cardiovascular disease and mean baseline LDL-C levels of 74 mg per deciliter . (5.1)	
arthritis	Celecoxib	DB00482	0	1	0,600197	Celecoxib is a nonsteroidal anti-inflammatory drug indicated for: Osteoarthritis (OA) (1.1) Rheumatoid Arthritis (RA) (1.2) Juvenile Rheumatoid Arthritis (JRA) in patients 2 years and older (1.3) Ankylosing Spondylitis (AS) (1.4) Acute Pain (AP) (1.5) Primary Dysmenorrhea (PD) (1.6)	
arthritis	Dexamethasone	DB01234	0	1	0,571429	Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, perennial or seasonal allergic rhinitis, and serum sickness. Bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, and severe erythema multiforme (Stevens-Johnson syndrome). Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice; may be used in conjunction with synthetic mineralocorticoid analogs where applicable; in infancy mineralocorticoid supplementation is of particular importance), congenital adrenal hyperplasia, hypercalcemia associated with cancer, and nonsuppurative thyroiditis. To tide the patient over a critical period of the disease in regional enteritis and ulcerative colitis. Acquired (autoimmune) hemolytic anemia, congenital (erythroid) hypoplastic anemia (Diamond-Blackfan anemia), idiopathic thrombocytopenic purpura in adults, pure red cell aplasia, and selected cases of secondary thrombocytopenia. Diagnostic testing of adrenocortical hyperfunction, trichinosis with neurologic or myocardial involvement, tuberculous meningitis with subarachnoid block or impending block when used with appropriate antituberculous chemotherapy. For the palliative management of leukemias and lymphomas. Acute exacerbations of multiple sclerosis, cerebral edema associated with primary or metastatic brain tumor, craniotomy, or head injury. Sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions unresponsive to topical corticosteroids. To induce a diuresis or remission of proteinuria in idiopathic nephrotic syndrome or that due to lupus erythematosus. Berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis. As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy). For the treatment of dermatomyositis, polymyositis, and systemic lupus erythematosus.	
arthritis	Diclofenac	DB00586	1	1	0,247706	Carefully consider the potential benefits and risks of diclofenac sodium delayed-release tablets and other treatment options before deciding to use diclofenac. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS). Diclofenac is indicated: For relief of the signs and symptoms of osteoarthritis For relief of the signs and symptoms of rheumatoid arthritis For acute or long-term use in the relief of signs and symptoms of ankylosing spondylitis	For relief of the signs and symptoms of rheumatoid arthritis
arthritis	Etodolac	DB00749	1	1	0,347826	Carefully consider the potential benefits and risks of etodolac extended-release tablets and other treatment options before deciding to use etodolac extended-release tablets. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see ). WARNINGS Etodolac extended-release tablets are indicated: * For relief of signs and symptoms of juvenile arthritis * For relief of the signs and symptoms of rheumatoid arthritis * For relief of the signs and symptoms of osteoarthritis	For relief of the signs and symptoms of rheumatoid arthritis
arthritis	Hydrocortisone	DB00741	0	0	0,513514	temporary relief of itching associated with minor skin irritations and rashes due to eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching other uses of this product should be only under the advice and supervision of a doctor	
arthritis	Hydroxychloroquine	DB01611	0	1	0,53985	Hydroxychloroquine sulfate tablets, USP are indicated for the suppressive treatment and treatment of acute attacks of malaria due to Plasmodium vivax, P. malariae, P. ovale, and susceptible strains of P. falciparum. Hydroxychloroquine sulfate tablets, USP are also indicated for the treatment of discoid and systemic lupus erythematosus, and rheumatoid arthritis.	
arthritis	Ibuprofen	DB01050	1	1	0	temporarily relieves minor aches and pains due to: headache toothecahe backache menstrual cramps the common cold muscular aches minor pain of arthritis headache toothecahe backache menstrual cramps the common cold muscular aches minor pain of arthritis temporarily reduces fever	temporarily relieves minor aches and pains due to: headache toothecahe backache menstrual cramps the common cold muscular aches minor pain of arthritis 
